Wahl;Wahlsprengel;Wahlberechtigte;abgegebene Stimmen;gültige Stimmen;SPÖ;FPÖ;ÖVP;GRÜNE;NEOS;KPÖ;LINZ;VOLT;WANDL;MFG;R
"GR21";"441";642;252;249;100;85;32;8;9;4;1;0;1;9;0
"GR21";"442";739;348;340;158;58;67;23;8;8;2;0;3;12;1
"GR21";"443";707;289;282;138;66;31;16;11;4;5;0;4;7;0
"GR21";"444";760;364;358;175;82;67;15;5;2;4;0;2;5;1
"GR21";"445";561;268;262;143;55;43;9;6;3;1;0;1;1;0
"GR21";"446";746;310;305;125;111;30;16;1;4;6;0;1;11;0
"GR21";"447";716;343;336;162;90;29;13;6;7;8;0;1;19;1
"GR21";"448";774;292;285;109;84;29;29;8;4;6;0;2;14;0
"GR21";"450";690;338;328;137;101;32;18;11;7;1;0;3;18;0
"GR21";"451";703;307;303;134;80;38;15;13;0;7;1;2;12;1
"GR21";"460";800;306;297;146;61;45;22;6;6;4;0;1;6;0
"GR21";"461";735;288;284;126;86;37;8;5;10;2;0;1;8;1
"GR21";"462";713;274;268;149;66;18;13;3;5;4;0;5;5;0
"GR21";"463";691;313;302;157;62;44;16;4;8;4;0;3;4;0
"GR21";"464";763;275;266;95;55;44;27;11;5;5;0;3;21;0
"GR21";"466";589;278;268;133;33;48;14;12;4;7;0;5;12;0
"GR21";"468";714;316;305;160;70;26;14;7;8;6;0;2;12;0
